Game Id;PlayerId;TeamId;Game Rating;SA;GA;SV;SV%;TOI;PIM
24643;45323;11;21;12;4;8;.667;1100000;0
24643;152835;26;57;26;3;23;.885;3600000;0
24644;187578;10;65;50;6;44;.880;3344000;0
24644;196090;4838;74;35;4;31;.886;3600000;0
24644;185743;4838;0;0;0;0;.00nan;0;0
24644;90164;10;49;1;0;1;1.000;235000;0
24645;183844;29;0;0;0;0;.00nan;0;0
24645;173699;29;84;47;4;43;.915;3600000;0
24645;170977;30;0;0;0;0;.00nan;0;0
24645;86697;30;76;28;2;26;.929;3600000;0
24646;175092;9;0;0;0;0;.00nan;0;0
24646;190106;9;65;35;3;32;.914;4200000;0
24646;-1;5;0;0;0;0;.00nan;0;0
24646;61425;5;45;25;3;22;.880;4200000;0
24647;166591;20;62;20;1;19;.950;1537000;0
24647;183783;20;39;33;6;27;.818;2063000;0
24647;183904;34;0;0;0;0;.00nan;0;0
24647;78806;34;55;10;1;9;.900;3600000;0
24648;184229;35;0;0;0;0;.00nan;0;0
24648;57338;35;98;30;1;29;.967;3600000;0
24648;139409;3;52;31;4;27;.871;3600000;0
24648;148958;3;0;0;0;0;.00nan;0;0
24649;166646;0;0;0;0;0;.00nan;0;0
24649;174718;12;62;16;1;15;.938;3600000;0
24649;59540;0;55;32;4;28;.875;3600000;0
24649;85798;12;0;0;0;0;.00nan;0;0
24650;194416;17;0;0;0;0;.00nan;0;0
24650;178413;17;41;33;5;28;.848;3600000;0
24650;175084;22;57;21;2;19;.905;3600000;0
24650;184770;22;0;0;0;0;.00nan;0;0
24651;197940;11;0;0;0;0;.00nan;0;0
24651;175912;14;0;0;0;0;.00nan;0;0
24651;185034;14;37;21;4;17;.810;3580000;0
24651;45323;11;79;33;3;30;.909;3600000;0
24652;167642;18;69;25;2;23;.920;3600000;0
24652;173727;18;0;0;0;0;.00nan;0;0
24652;179452;27;24;35;7;28;.800;3600000;0
24652;175660;27;0;0;0;0;.00nan;0;0
24653;13714;8;61;18;2;16;.889;3600000;0
24653;58830;8;0;0;0;0;.00nan;0;0
24653;77955;28;0;0;0;0;.00nan;0;0
24653;85437;28;78;37;3;34;.919;3563000;0
24654;556;33;81;38;3;35;.921;4059000;0
24654;168872;24;0;0;0;0;.00nan;0;0
24654;197038;33;0;0;0;0;.00nan;0;0
24654;85727;24;66;27;2;25;.926;4059000;0
24655;162029;4182;0;0;0;0;.00nan;0;0
24655;3928;15;0;0;0;0;.00nan;0;0
24655;163195;15;67;34;4;30;.882;3600000;0
24655;172340;4182;78;36;3;33;.917;3600000;0
24656;187537;19;0;0;0;0;.00nan;0;0
24656;178384;19;51;21;3;18;.857;3600000;0
24656;183859;23;0;0;0;0;.00nan;0;0
24656;78573;23;57;35;5;30;.857;3600000;0
24657;183844;29;0;0;0;0;.00nan;0;0
24657;173699;29;68;15;1;14;.933;3596000;0
24657;175092;9;100;29;0;29;1.000;3600000;0
24657;190106;9;0;0;0;0;.00nan;0;0
24658;320;21;0;0;0;0;.00nan;0;0
24658;187578;10;0;0;0;0;.00nan;0;0
24658;3284;21;76;22;1;21;.955;3600000;0
24658;90164;10;57;40;6;34;.850;3600000;0
24659;175084;22;81;34;2;32;.941;3600000;0
24659;184770;22;0;0;0;0;.00nan;0;0
24659;196090;4838;0;0;0;0;.00nan;0;0
24659;185743;4838;58;34;4;30;.882;3600000;0
24660;170977;30;0;0;0;0;.00nan;0;0
24660;86697;30;63;22;2;20;.909;3600000;0
24660;149452;31;69;21;2;19;.905;1716000;0
24660;152717;31;50;36;5;31;.861;1884000;0
24661;183904;34;37;18;4;14;.778;3600000;0
24661;-1;5;38;32;5;27;.844;3600000;0
24661;61425;5;0;0;0;0;.00nan;0;0
24661;78806;34;0;0;0;0;.00nan;0;0
24662;184229;35;0;0;0;0;.00nan;0;0
24662;175912;14;0;0;0;0;.00nan;0;0
24662;185034;14;73;38;3;35;.921;3548000;0
24662;57338;35;87;28;1;27;.964;3600000;0
24663;166591;20;0;0;0;0;.00nan;0;0
24663;165723;32;100;22;0;22;1.000;3600000;0
24663;183783;20;60;30;3;27;.900;3600000;0
24663;20432;32;0;0;0;0;.00nan;0;0
24664;170314;25;62;23;3;20;.870;3715000;0
24664;186573;16;0;0;0;0;.00nan;0;0
24664;191813;25;0;0;0;0;.00nan;0;0
24664;50065;16;60;34;4;30;.882;3715000;0
