TeamId;GP;G;GA;S;SA;FO%;SB;H;TkA;GvA;InD;PIM/G;PP Ch;PPG;SH GA;SH Ch;PP GA;SHG;Att Total Home;Att Total Away;Att Avg Home;Att Avg Away;Sellouts Home;Sellouts Away;Capacity Use %
113;37;109;152;1049;1155;48.5;599;664;153;175;0;12.78;134;21;5;149;32;3;42305;65240;2226;3624;0;0;53
114;37;152;131;1234;1093;50.8;497;798;173;185;0;12.70;143;30;2;157;32;6;35421;52340;1771;3078;0;0;42
115;35;127;130;1067;1111;49.3;549;732;195;210;0;13.17;151;36;2;139;26;3;76626;48786;4032;3049;0;0;73
116;38;132;137;1114;1214;49.2;600;824;188;185;0;14.34;152;24;5;159;38;3;65173;64493;3833;3071;0;0;72
117;36;178;108;1450;999;49.8;509;746;169;190;0;12.42;151;47;2;139;34;2;39767;56064;2209;3114;0;0;48
118;39;146;128;1402;1137;51.7;621;739;225;244;0;13.38;190;41;4;170;30;4;58705;69242;2935;3644;0;0;44
119;36;137;135;1097;1122;49.6;579;622;189;177;0;12.42;156;40;3;161;22;7;58469;59208;3077;3482;0;0;65
120;37;138;146;1092;1245;48.6;653;666;209;153;0;16.95;178;36;4;180;38;2;108359;62119;6019;3269;0;0;73
121;38;130;168;1103;1392;49.0;706;742;231;265;0;16.00;177;43;7;192;44;5;104901;52804;5245;2933;0;0;58
122;40;160;140;1360;1347;50.9;643;750;208;203;0;11.32;180;45;2;163;35;2;32200;75776;1694;3608;0;0;48
