Game Id;Period;Time;Scorer;Assist 1;Assist 2;TeamId;Note;SQ
91;2;832;86137;143407;29596;25;ES;3
91;2;873;78680;176082;;9;PP;4
91;3;1110;143407;152645;37049;25;ES;3
92;1;112;165291;55614;74736;32;ES;4
92;1;609;3177;163242;;35;ES;4
92;1;1085;169870;167847;165291;32;ES;1
92;1;1162;85827;91644;3177;35;PP;3
92;2;492;85827;165314;91644;35;ES;2
92;2;912;47116;15810;32962;32;ES;2
92;3;1049;47116;169870;57588;32;PP;3
93;1;80;18206;169476;31432;16;PP;4
93;1;597;74671;20760;31424;16;ES;1
93;2;136;75265;78467;31432;16;ES;2
93;2;1007;74671;23778;31432;16;ES;2
93;2;1060;57224;164471;173556;18;ES;3
93;3;370;31424;148519;85659;16;ES;4
93;3;449;18206;169476;165214;16;ES;4
93;3;495;57195;85248;148519;16;ES;3
93;3;574;85119;6128;95065;18;ES;3
93;3;960;165214;78467;18206;16;ES;3
93;3;977;169476;18206;165214;16;ES;1
94;1;64;141696;58247;490;23;ES;2
94;1;351;289;84974;;33;ES;1
94;1;608;81180;85522;85988;33;ES;2
94;2;608;57151;141696;74721;23;ES;3
94;3;30;64696;74676;85121;23;ES;3
94;3;355;58247;74676;;23;PP;1
94;3;731;58822;75274;85136;33;ES;3
94;3;783;12640;289;79119;33;ES;4
94;OT1;196;17910;564;85136;33;ES;3
95;1;496;31472;37584;;30;ES;1
95;1;1042;164160;19020;;30;ES;4
95;2;472;183398;84965;47102;21;PP;1
95;3;378;84975;37584;31472;30;ES;2
95;3;412;47107;146358;57175;21;ES;1
96;2;453;43756;5501;;12;ES;3
96;3;397;62325;79036;47163;12;ES;4
97;2;775;13279;7319;;4838;ES;2
97;2;870;43725;79104;36822;34;ES;1
97;2;1120;33115;23788;43725;34;ES;4
97;3;108;66828;85759;15856;4838;ES;4
97;OT1;429;15856;14137;65145;4838;ES;3
98;1;141;675;3133;;10;ES;1
98;1;386;15297;23067;58002;20;ES;3
98;1;773;16991;75279;64889;10;PP;4
98;1;805;3133;238;952;10;ES;4
98;1;926;18207;143375;14303;20;ES;4
98;1;1102;64889;85115;164664;10;PP;3
98;2;12;64889;85115;84958;10;PP;3
98;2;52;164664;84958;64889;10;PP;3
98;2;406;18207;91651;;20;ES;2
98;3;365;91183;238;3133;10;ES;3
99;1;385;59607;77070;78579;19;ES;1
99;1;495;38275;78680;;9;ES;1
99;2;1014;77070;78585;18330;19;PP;4
99;3;376;176082;78680;71777;9;ES;4
99;3;867;71777;86055;;9;ES;1
100;1;1069;86095;33862;85723;15;ES;3
100;1;1102;19408;85906;77093;15;ES;3
100;2;162;74742;84981;91184;4182;ES;4
101;1;681;85789;364;57335;5;ES;3
101;1;879;143013;74743;12609;32;ES;4
101;1;946;85789;11770;364;5;ES;3
101;1;1154;12609;91653;59177;32;SH;3
101;2;308;11770;3093;85789;5;ES;3
101;2;666;57588;47116;151611;32;PP;3
101;3;226;91729;31511;44163;5;ES;1
102;1;978;91751;58812;70240;17;ES;4
102;1;995;143666;79102;;14;ES;1
102;1;1186;129;72369;708;14;ES;3
102;3;89;59667;143666;;14;ES;1
102;3;110;79251;43826;70240;17;ES;4
102;3;1164;85790;129;708;14;ES, ENG;2
103;1;535;18206;165214;31432;16;PP;3
103;1;1059;85659;77076;;16;SH;1
103;2;236;31424;75265;31432;16;ES;1
103;2;294;77085;78809;79104;34;ES;3
103;2;420;18206;165214;169476;16;ES;3
103;2;804;169476;18206;31432;16;PP;4
103;3;409;169476;165214;78467;16;ES;4
103;3;658;33115;36822;43725;34;PP;3
104;1;854;14807;6508;38265;24;PP;3
104;2;354;44353;85385;533;8;ES;1
104;3;190;85225;84963;;24;ES;1
104;3;1192;14807;85225;176042;24;ES, ENG;2
105;1;872;77073;937;;31;ES;2
105;1;983;59790;146323;149513;11;ES;2
105;2;81;32996;79103;75138;11;ES;3
105;2;990;91661;168056;170904;31;ES;2
105;3;917;78804;173242;56199;11;ES;3
106;3;29;91427;85524;;3;ES;1
106;3;530;54289;64023;18992;3;ES;2
